bill/BillInvoiceId,lineItem/UsageAccountId,lineItem/Region,lineItem/LineItemType,lineItem/UsageStartDate,lineItem/UsageEndDate,lineItem/ProductCode,lineItem/UsageType,lineItem/Operation,lineItem/UsageAmount,lineItem/UsageUnit,lineItem/UnblendedCost,resourceId,tags/Product,tags/Environment
2025-10-AWS-0001,444455556666,us-east-1,Usage,2025-10-27T17:00:00,2025-10-27T18:00:00,AmazonEC2,BoxUsage:m5.large,StopInstances,699.97,Hrs,22.9789,i-0000000a,DataPlatform,staging
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-09T00:00:00,2025-10-09T01:00:00,ElasticLoadBalancing,LoadBalancerUsage,HealthCheck,246.63,Hrs,6.9856,alb-0000000b,InternalTools,staging
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-02T15:00:00,2025-10-02T16:00:00,AmazonS3,Requests-Tier1,PutObject,1028235.0,Requests,400.5644,bucket-0000000c,InternalTools,prod
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-27T15:00:00,2025-10-27T16:00:00,AmazonEC2,BoxUsage:m5.large,StopInstances,636.91,Hrs,26.2072,i-0000000d,InternalTools,dev
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-17T05:00:00,2025-10-17T06:00:00,AmazonEC2,BoxUsage:c5.xlarge,RunInstances,344.63,Hrs,14.2121,i-0000000e,MarketingSite,prod
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-20T07:00:00,2025-10-20T08:00:00,AmazonS3,TimedStorage-ByteHrs,GetObject,1921.03,GB-Mo,30.7966,bucket-0000000f,Search,prod
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-20T11:00:00,2025-10-20T12:00:00,AmazonEC2,BoxUsage:m5.large,StopInstances,618.75,Hrs,20.1356,i-00000010,MarketingSite,prod
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-18T09:00:00,2025-10-18T10:00:00,ElasticLoadBalancing,LCUs,LoadBalancing,626.91,LCU-Hrs,4.5685,alb-00000011,InternalTools,prod
2025-10-AWS-0001,444455556666,us-east-1,Usage,2025-10-30T13:00:00,2025-10-30T14:00:00,AmazonEC2,BoxUsage:c5.xlarge,StopInstances,221.72,Hrs,8.5507,i-00000012,Checkout,dev
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-17T04:00:00,2025-10-17T05:00:00,AmazonEC2,BoxUsage:t3.medium,StopInstances,237.69,Hrs,7.7458,i-00000013,Search,staging
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-23T21:00:00,2025-10-23T22:00:00,AmazonVPC,NatGateway-Hours,DataTransfer,153.14,Hrs,5.8447,nat-00000014,Checkout,staging
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-10T13:00:00,2025-10-10T14:00:00,AmazonEC2,BoxUsage:m5.large,StopInstances,512.08,Hrs,18.1659,i-00000015,Checkout,dev
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-06T07:00:00,2025-10-06T08:00:00,AmazonEBS,EBS:VolumeUsage.io2,CreateVolume,494.69,GB-Mo,45.1359,vol-00000016,DataPlatform,staging
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-11T16:00:00,2025-10-11T17:00:00,AmazonEC2,BoxUsage:t3.medium,RunInstances,471.87,Hrs,20.8389,i-00000017,Search,prod
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-27T03:00:00,2025-10-27T04:00:00,AmazonS3,Requests-Tier1,PutObject,1720340.0,Requests,726.1545,bucket-00000018,Checkout,prod
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-26T13:00:00,2025-10-26T14:00:00,AmazonRDS,RDS:Multi-AZUsage,ModifyDBInstance,83.6,Hrs,14.8607,db-00000019,Search,staging
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-09T07:00:00,2025-10-09T08:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,CreateNatGateway,435.85,GB,33.2833,nat-0000001a,Search,dev
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-27T23:00:00,2025-10-28T00:00:00,AmazonEC2,BoxUsage:c5.xlarge,StopInstances,142.27,Hrs,5.607,i-0000001b,MarketingSite,dev
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-28T10:00:00,2025-10-28T11:00:00,AmazonVPC,NatGateway-Hours,CreateNatGateway,264.78,Hrs,11.8893,nat-0000001c,InternalTools,prod
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-12T15:00:00,2025-10-12T16:00:00,AmazonEBS,EBS:VolumeUsage.io2,AttachVolume,1246.05,GB-Mo,108.1858,vol-0000001d,Checkout,dev
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-16T03:00:00,2025-10-16T04:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,DataTransfer,2304.89,GB,177.1901,nat-0000001e,InternalTools,dev
2025-10-AWS-0001,444455556666,us-east-1,Usage,2025-10-24T13:00:00,2025-10-24T14:00:00,AmazonEC2,BoxUsage:m5.large,RunInstances,464.56,Hrs,19.0265,i-0000001f,MarketingSite,prod
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-12T04:00:00,2025-10-12T05:00:00,AmazonS3,TimedStorage-ByteHrs,PutObject,921.29,GB-Mo,21.5531,bucket-00000020,Search,dev
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-11T01:00:00,2025-10-11T02:00:00,AmazonVPC,NatGateway-Hours,DataTransfer,507.82,Hrs,21.607,nat-00000021,MarketingSite,dev
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-29T00:00:00,2025-10-29T01:00:00,ElasticLoadBalancing,LoadBalancerUsage,HealthCheck,535.3,Hrs,12.6524,alb-00000022,InternalTools,staging
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-24T02:00:00,2025-10-24T03:00:00,AmazonVPC,NatGateway-Hours,DataTransfer,525.52,Hrs,19.7688,nat-00000023,Checkout,dev
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-04T19:00:00,2025-10-04T20:00:00,AmazonS3,Requests-Tier1,PutObject,832434.0,Requests,275.3674,bucket-00000024,InternalTools,prod
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-12T04:00:00,2025-10-12T05:00:00,AmazonEBS,EBS:VolumeUsage.gp3,AttachVolume,3950.64,GB-Mo,358.2044,vol-00000025,DataPlatform,prod
2025-10-AWS-0001,444455556666,eu-west-1,Usage,2025-10-27T01:00:00,2025-10-27T02:00:00,AmazonEC2,BoxUsage:m5.large,StopInstances,88.02,Hrs,3.7534,i-00000026,MarketingSite,prod
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-27T10:00:00,2025-10-27T11:00:00,AmazonEBS,EBS:VolumeUsage.io2,CreateVolume,2766.49,GB-Mo,296.6348,vol-00000027,Search,staging
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-20T00:00:00,2025-10-20T01:00:00,AmazonEBS,EBS:VolumeUsage.io2,CreateVolume,926.56,GB-Mo,99.498,vol-00000028,DataPlatform,prod
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-20T11:00:00,2025-10-20T12:00:00,AmazonS3,Requests-Tier1,GetObject,311958.0,Requests,126.9162,bucket-00000029,DataPlatform,prod
2025-10-AWS-0001,444455556666,eu-west-1,Usage,2025-10-02T04:00:00,2025-10-02T05:00:00,ElasticLoadBalancing,LoadBalancerUsage,LoadBalancing,305.36,Hrs,6.9151,alb-0000002a,DataPlatform,prod
2025-10-AWS-0001,444455556666,eu-west-1,Usage,2025-10-09T06:00:00,2025-10-09T07:00:00,AmazonRDS,RDS:StorageUsage,CreateDBInstance,449.66,Hrs,96.4389,db-0000002b,DataPlatform,staging
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-09T06:00:00,2025-10-09T07:00:00,ElasticLoadBalancing,LCUs,LoadBalancing,730.17,LCU-Hrs,5.3683,alb-0000002c,DataPlatform,dev
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-13T09:00:00,2025-10-13T10:00:00,AmazonS3,Requests-Tier1,PutObject,865698.0,Requests,410.7487,bucket-0000002d,Search,staging
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-17T16:00:00,2025-10-17T17:00:00,ElasticLoadBalancing,LCUs,LoadBalancing,447.64,LCU-Hrs,3.1021,alb-0000002e,InternalTools,prod
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-03T01:00:00,2025-10-03T02:00:00,AmazonEC2,BoxUsage:t3.medium,RunInstances,505.59,Hrs,16.4101,i-0000002f,InternalTools,staging
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-26T22:00:00,2025-10-26T23:00:00,AmazonEC2,BoxUsage:m5.large,StopInstances,489.13,Hrs,21.355,i-00000030,Checkout,dev
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-01T19:00:00,2025-10-01T20:00:00,ElasticLoadBalancing,LoadBalancerUsage,LoadBalancing,721.98,Hrs,15.6343,alb-00000031,InternalTools,staging
2025-10-AWS-0001,444455556666,eu-west-1,Usage,2025-10-01T09:00:00,2025-10-01T10:00:00,AmazonVPC,NatGateway-Hours,CreateNatGateway,606.23,Hrs,28.4219,nat-00000032,Search,prod
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-07T07:00:00,2025-10-07T08:00:00,ElasticLoadBalancing,LoadBalancerUsage,HealthCheck,234.82,Hrs,6.1586,alb-00000033,DataPlatform,staging
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-18T08:00:00,2025-10-18T09:00:00,AmazonRDS,RDS:StorageUsage,ModifyDBInstance,273.14,Hrs,53.3901,db-00000034,Checkout,staging
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-29T10:00:00,2025-10-29T11:00:00,AmazonVPC,NatGateway-Hours,DataTransfer,123.98,Hrs,4.4668,nat-00000035,Checkout,staging
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-21T23:00:00,2025-10-22T00:00:00,AmazonS3,TimedStorage-ByteHrs,GetObject,1881.92,GB-Mo,35.4007,bucket-00000036,MarketingSite,dev
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-21T13:00:00,2025-10-21T14:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,DataTransfer,205.39,GB,19.564,nat-00000037,MarketingSite,staging
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-11T09:00:00,2025-10-11T10:00:00,ElasticLoadBalancing,LoadBalancerUsage,LoadBalancing,238.08,Hrs,7.0536,alb-00000038,Checkout,staging
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-23T13:00:00,2025-10-23T14:00:00,AmazonS3,TimedStorage-ByteHrs,GetObject,3204.62,GB-Mo,71.0114,bucket-00000039,Checkout,staging
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-10T06:00:00,2025-10-10T07:00:00,AmazonEBS,EBS:VolumeUsage.gp3,AttachVolume,2837.84,GB-Mo,253.9656,vol-0000003a,Checkout,staging
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-27T15:00:00,2025-10-27T16:00:00,AmazonS3,Requests-Tier1,GetObject,1365551.0,Requests,478.3212,bucket-0000003b,MarketingSite,prod
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-03T19:00:00,2025-10-03T20:00:00,AmazonS3,Requests-Tier1,PutObject,1425810.0,Requests,568.8891,bucket-0000003c,Search,staging
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-05T13:00:00,2025-10-05T14:00:00,ElasticLoadBalancing,LoadBalancerUsage,LoadBalancing,121.18,Hrs,2.961,alb-0000003d,MarketingSite,staging
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-24T17:00:00,2025-10-24T18:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,CreateNatGateway,4568.35,GB,410.8222,nat-0000003e,Search,staging
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-21T05:00:00,2025-10-21T06:00:00,AmazonEBS,EBS:VolumeUsage.gp3,CreateVolume,2510.02,GB-Mo,276.8382,vol-0000003f,Search,dev
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-25T10:00:00,2025-10-25T11:00:00,ElasticLoadBalancing,LCUs,HealthCheck,500.41,LCU-Hrs,4.6482,alb-00000040,DataPlatform,dev
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-18T08:00:00,2025-10-18T09:00:00,ElasticLoadBalancing,LCUs,HealthCheck,169.0,LCU-Hrs,1.5288,alb-00000041,Checkout,staging
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-21T22:00:00,2025-10-21T23:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,DataTransfer,4766.12,GB,398.4291,nat-00000042,Checkout,staging
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-16T06:00:00,2025-10-16T07:00:00,AmazonVPC,NatGateway-Hours,CreateNatGateway,737.98,Hrs,32.3123,nat-00000043,Checkout,dev
2025-10-AWS-0001,444455556666,us-east-1,Usage,2025-10-10T23:00:00,2025-10-11T00:00:00,AmazonVPC,NatGateway-Hours,DataTransfer,383.67,Hrs,14.9177,nat-00000044,DataPlatform,dev
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-26T16:00:00,2025-10-26T17:00:00,AmazonEBS,EBS:VolumeUsage.gp3,AttachVolume,2921.29,GB-Mo,330.0906,vol-00000045,DataPlatform,prod
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-14T05:00:00,2025-10-14T06:00:00,AmazonEBS,EBS:VolumeUsage.gp3,CreateVolume,4151.66,GB-Mo,471.706,vol-00000046,DataPlatform,staging
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-30T06:00:00,2025-10-30T07:00:00,ElasticLoadBalancing,LCUs,LoadBalancing,417.1,LCU-Hrs,3.5089,alb-00000047,MarketingSite,staging
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-13T08:00:00,2025-10-13T09:00:00,AmazonVPC,NatGateway-Hours,CreateNatGateway,115.23,Hrs,4.904,nat-00000048,DataPlatform,dev
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-27T13:00:00,2025-10-27T14:00:00,AmazonS3,TimedStorage-ByteHrs,GetObject,3053.95,GB-Mo,50.0613,bucket-00000049,DataPlatform,staging
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-13T23:00:00,2025-10-14T00:00:00,ElasticLoadBalancing,LCUs,LoadBalancing,611.96,LCU-Hrs,5.341,alb-0000004a,MarketingSite,staging
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-03T19:00:00,2025-10-03T20:00:00,AmazonS3,Requests-Tier1,GetObject,151163.0,Requests,56.0768,bucket-0000004b,InternalTools,dev
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-10T16:00:00,2025-10-10T17:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,DataTransfer,1343.86,GB,101.3604,nat-0000004c,Search,dev
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-29T07:00:00,2025-10-29T08:00:00,AmazonS3,Requests-Tier1,GetObject,1079126.0,Requests,429.9395,bucket-0000004d,Checkout,prod
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-13T18:00:00,2025-10-13T19:00:00,AmazonEC2,BoxUsage:t3.medium,StopInstances,218.27,Hrs,9.9688,i-0000004e,DataPlatform,staging
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-03T11:00:00,2025-10-03T12:00:00,AmazonVPC,NatGateway-Hours,CreateNatGateway,553.69,Hrs,22.7822,nat-0000004f,MarketingSite,staging
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-05T04:00:00,2025-10-05T05:00:00,AmazonRDS,RDS:StorageUsage,ModifyDBInstance,405.98,Hrs,94.6096,db-00000050,MarketingSite,dev
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-26T12:00:00,2025-10-26T13:00:00,AmazonS3,TimedStorage-ByteHrs,PutObject,455.78,GB-Mo,7.6653,bucket-00000051,DataPlatform,prod
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-13T18:00:00,2025-10-13T19:00:00,AmazonEBS,EBS:VolumeUsage.io2,AttachVolume,2219.19,GB-Mo,223.6237,vol-00000052,DataPlatform,dev
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-15T15:00:00,2025-10-15T16:00:00,AmazonRDS,RDS:Multi-AZUsage,CreateDBInstance,69.23,Hrs,14.8022,db-00000053,InternalTools,staging
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-15T05:00:00,2025-10-15T06:00:00,AmazonVPC,NatGateway-Hours,DataTransfer,493.33,Hrs,18.458,nat-00000054,Search,prod
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-15T18:00:00,2025-10-15T19:00:00,AmazonEBS,EBS:VolumeUsage.gp3,AttachVolume,2972.38,GB-Mo,273.289,vol-00000055,DataPlatform,staging
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-27T04:00:00,2025-10-27T05:00:00,AmazonS3,TimedStorage-ByteHrs,GetObject,4504.66,GB-Mo,83.8143,bucket-00000056,MarketingSite,dev
2025-10-AWS-0001,444455556666,eu-west-1,Usage,2025-10-12T03:00:00,2025-10-12T04:00:00,AmazonEBS,EBS:VolumeUsage.io2,AttachVolume,534.54,GB-Mo,59.2173,vol-00000057,MarketingSite,dev
2025-10-AWS-0001,444455556666,us-east-1,Usage,2025-10-29T09:00:00,2025-10-29T10:00:00,AmazonS3,Requests-Tier1,GetObject,1021061.0,Requests,406.5541,bucket-00000058,Checkout,prod
2025-10-AWS-0001,444455556666,us-east-1,Usage,2025-10-21T13:00:00,2025-10-21T14:00:00,AmazonEBS,EBS:VolumeUsage.io2,CreateVolume,3252.94,GB-Mo,266.4845,vol-00000059,InternalTools,staging
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-07T03:00:00,2025-10-07T04:00:00,AmazonS3,Requests-Tier1,GetObject,1996314.0,Requests,762.1877,bucket-0000005a,DataPlatform,dev
2025-10-AWS-0001,444455556666,eu-west-1,Usage,2025-10-17T14:00:00,2025-10-17T15:00:00,AmazonRDS,RDS:Multi-AZUsage,CreateDBInstance,80.02,Hrs,13.4152,db-0000005b,InternalTools,dev
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-26T02:00:00,2025-10-26T03:00:00,AmazonVPC,NatGateway-Hours,DataTransfer,692.21,Hrs,32.4593,nat-0000005c,Search,staging
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-11T02:00:00,2025-10-11T03:00:00,AmazonS3,TimedStorage-ByteHrs,PutObject,1809.56,GB-Mo,34.42,bucket-0000005d,InternalTools,staging
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-12T18:00:00,2025-10-12T19:00:00,AmazonRDS,RDS:StorageUsage,CreateDBInstance,701.94,Hrs,153.2203,db-0000005e,MarketingSite,dev
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-01T07:00:00,2025-10-01T08:00:00,AmazonRDS,RDS:StorageUsage,ModifyDBInstance,655.96,Hrs,116.293,db-0000005f,DataPlatform,staging
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-13T15:00:00,2025-10-13T16:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,DataTransfer,1532.39,GB,164.4387,nat-00000060,Checkout,staging
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-16T05:00:00,2025-10-16T06:00:00,ElasticLoadBalancing,LoadBalancerUsage,HealthCheck,581.15,Hrs,15.7035,alb-00000061,Checkout,dev
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-26T11:00:00,2025-10-26T12:00:00,AmazonEBS,EBS:VolumeUsage.io2,CreateVolume,4556.03,GB-Mo,468.7508,vol-00000062,Checkout,staging
2025-10-AWS-0001,444455556666,eu-west-1,Usage,2025-10-12T21:00:00,2025-10-12T22:00:00,AmazonRDS,RDS:Multi-AZUsage,ModifyDBInstance,216.5,Hrs,44.9565,db-00000063,Search,prod
2025-10-AWS-0001,444455556666,us-east-1,Usage,2025-10-26T21:00:00,2025-10-26T22:00:00,AmazonRDS,RDS:StorageUsage,ModifyDBInstance,471.03,Hrs,86.6699,db-00000064,MarketingSite,staging
2025-10-AWS-0001,444455556666,eu-west-1,Usage,2025-10-16T05:00:00,2025-10-16T06:00:00,AmazonRDS,RDS:StorageUsage,ModifyDBInstance,79.02,Hrs,15.1294,db-00000065,InternalTools,staging
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-21T11:00:00,2025-10-21T12:00:00,AmazonVPC,NatGateway-Hours,CreateNatGateway,77.37,Hrs,3.386,nat-00000066,Search,staging
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-13T13:00:00,2025-10-13T14:00:00,ElasticLoadBalancing,LoadBalancerUsage,LoadBalancing,236.28,Hrs,6.5501,alb-00000067,Checkout,dev
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-13T21:00:00,2025-10-13T22:00:00,AmazonEC2,BoxUsage:c5.xlarge,StopInstances,149.94,Hrs,6.8856,i-00000068,Checkout,dev
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-25T09:00:00,2025-10-25T10:00:00,AmazonRDS,RDS:StorageUsage,ModifyDBInstance,143.95,Hrs,23.2205,db-00000069,InternalTools,staging
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-24T06:00:00,2025-10-24T07:00:00,AmazonEC2,BoxUsage:m5.large,StopInstances,336.08,Hrs,14.5542,i-0000006a,Search,prod
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-19T23:00:00,2025-10-20T00:00:00,AmazonS3,Requests-Tier1,PutObject,1224357.0,Requests,534.3599,bucket-0000006b,Checkout,dev
2025-10-AWS-0001,111122223333,us-west-2,Usage,2025-10-18T20:00:00,2025-10-18T21:00:00,AmazonRDS,RDS:StorageUsage,ModifyDBInstance,745.48,Hrs,169.698,db-0000006c,Checkout,dev
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-02T05:00:00,2025-10-02T06:00:00,AmazonEBS,EBS:VolumeUsage.gp3,CreateVolume,1258.14,GB-Mo,106.6598,vol-0000006d,InternalTools,staging
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-04T02:00:00,2025-10-04T03:00:00,AmazonS3,TimedStorage-ByteHrs,PutObject,4324.53,GB-Mo,69.5925,bucket-0000006e,Checkout,prod
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-19T09:00:00,2025-10-19T10:00:00,AmazonRDS,RDS:Multi-AZUsage,ModifyDBInstance,314.91,Hrs,65.3688,db-0000006f,Search,staging
2025-10-AWS-0001,777788889999,eu-west-1,Usage,2025-10-04T21:00:00,2025-10-04T22:00:00,AmazonEC2,BoxUsage:t3.medium,StopInstances,195.56,Hrs,6.5845,i-00000070,DataPlatform,staging
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-18T12:00:00,2025-10-18T13:00:00,AmazonS3,TimedStorage-ByteHrs,GetObject,3618.93,GB-Mo,67.6352,bucket-00000071,Checkout,staging
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-21T00:00:00,2025-10-21T01:00:00,AmazonEBS,EBS:VolumeUsage.io2,AttachVolume,2444.83,GB-Mo,217.4041,vol-00000072,Search,staging
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-12T10:00:00,2025-10-12T11:00:00,AmazonEBS,EBS:VolumeUsage.gp3,CreateVolume,492.54,GB-Mo,44.9503,vol-00000073,DataPlatform,staging
2025-10-AWS-0001,111122223333,eu-west-1,Usage,2025-10-19T11:00:00,2025-10-19T12:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,DataTransfer,300.22,GB,28.2882,nat-00000074,Search,prod
2025-10-AWS-0001,777788889999,us-west-2,Usage,2025-10-20T13:00:00,2025-10-20T14:00:00,AmazonVPC,AWS-DataTransfer-Internet-Out-Bytes,CreateNatGateway,534.84,GB,45.1125,nat-00000075,Checkout,staging
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-04T09:00:00,2025-10-04T10:00:00,AmazonS3,TimedStorage-ByteHrs,PutObject,1100.73,GB-Mo,25.6652,bucket-00000076,DataPlatform,dev
2025-10-AWS-0001,111122223333,us-east-1,Usage,2025-10-18T16:00:00,2025-10-18T17:00:00,AmazonRDS,RDS:Multi-AZUsage,CreateDBInstance,545.01,Hrs,98.265,db-00000077,Search,prod
2025-10-AWS-0001,444455556666,us-west-2,Usage,2025-10-18T15:00:00,2025-10-18T16:00:00,AmazonS3,Requests-Tier1,GetObject,310658.0,Requests,129.982,bucket-00000078,Search,prod
2025-10-AWS-0001,777788889999,us-east-1,Usage,2025-10-16T13:00:00,2025-10-16T14:00:00,AmazonEBS,EBS:VolumeUsage.gp3,AttachVolume,1583.72,GB-Mo,145.2058,vol-00000079,Search,prod
